"","statistic.t","parameter.df","p.value","conf.int1","conf.int2","estimate.mean in group 0","estimate.mean in group 1","null.value.difference in means","alternative","method","data.name"
"Q6 (Before)","-1.08359490967702","90.8975147006622","0.281410381367865","-0.678339477664636","0.199483015484767","3.63013698630137","3.8695652173913","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q6 (After)","-0.593495097949052","87.0305745931839","0.554389214763444","-0.570609795013299","0.308198447495569","4.16666666666667","4.29787234042553","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q6( Change)","0.256211917440585","77.0106293158106","0.798470386291016","-0.37621593119536","0.487327042306471","0.555555555555556","0.5","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q7 (Before)","-0.405128384904739","100.679390958194","0.686242690344909","-0.574033960150019","0.379338536075404","3.94520547945205","4.04255319148936","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q7 (After)","-0.49179696997948","84.9555238712662","0.624131216663079","-0.571753336884019","0.344997289084545","4.3972602739726","4.51063829787234","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q7 (Change)","-0.100715126643258","102.595593530908","0.919973159422737","-0.331711116351864","0.299650492627003","0.452054794520548","0.468085106382979","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q8 (Before)","-0.589761018626869","87.7069737263124","0.556867171059282","-0.55657442236677","0.301838193861961","4.19178082191781","4.31914893617021","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q8 (After)","-0.701813848271646","93.2385224741678","0.484543452046695","-0.549134584379145","0.262337732149475","4.64383561643836","4.78723404255319","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q8 (Change)","-0.0953475791825943","117.532788810175","0.924201126278677","-0.348977296709068","0.316916672984206","0.452054794520548","0.468085106382979","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q9 (Before)","-0.198606254774948","94.0645026262082","0.842999389654799","-0.432708098083449","0.354013839849697","3.10958904109589","3.14893617021277","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q9 (After)","-1.49383066432088","98.2772373330312","0.138423675462481","-0.610771111288182","0.0861427230631744","4.3972602739726","4.65957446808511","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q9 (Change)","-1.23716334888547","108.091561428953","0.218707428243642","-0.580199732090989","0.134265602099732","1.28767123287671","1.51063829787234","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q10 (Before)","-0.420649781511025","103.422845216069","0.674883614984048","-0.507995607612857","0.330204876047716","3.50684931506849","3.59574468085106","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q10 (After)","-1.48425974764388","101.508290868346","0.140838688929225","-0.545443383642894","0.0785403103568425","4.63888888888889","4.87234042553191","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q10 (Change)","-0.810029370835244","109.568291854003","0.419679068446563","-0.52249630540146","0.219304816039758","1.125","1.27659574468085","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q11 (Before)","-0.947047584721853","116.229338589606","0.345579338433961","-0.518074087082874","0.18289483905023","3.72602739726027","3.8936170212766","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q11 (After)","-0.954088571642203","107.683947683246","0.34217564875869","-0.464648895420612","0.162696111975552","4.65753424657534","4.80851063829787","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q11 (Change)","0.0933452026562459","113.085150044253","0.925794500881508","-0.335987012607418","0.369213477195002","0.931506849315068","0.914893617021277","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q12 (Before)","-0.519652094769588","114.63440039544","0.604308052939818","-0.412330484670836","0.240951877850667","3.61643835616438","3.70212765957447","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q12 (After)","-0.498487817771288","113.382334036277","0.619105901918554","-0.411740870693911","0.246191468187353","4.53424657534247","4.61702127659574","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q12 (Change)","0.0146333756711432","108.715001231574","0.98835149323914","-0.391855328078182","0.397684532391793","0.917808219178082","0.914893617021277","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q13 (Before)","-0.521076685760773","77.9881914190251","0.603789833643404","-0.472526456511967","0.276483838551541","3.65753424657534","3.75555555555556","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
"Q13 (After)","-0.284050472935571","90.1475979231936","0.777023106473756","-0.43103403321982","0.323193753418013","4.52054794520548","4.57446808510638","0","two.sided","Welch Two Sample t-test","rawdata[, i] by rawdata$`Civ 4?`"
